Ключ;Дата чтения;Время чтения;Микроклимат 501 3-Конфигурация оборудования;Система отопления ( до 5);Система вентиляции ( до 6);Система зашторивания ( до 6);Система UltraClima ( до 6);Система CO2 ( до 6);Система досвечивания ( до 6);Система СИОД ( до 6);Система рециркуляции ( до 6);Воздушный обогреватель ( до 1);Система резерва 2 ( до 6);Смесительный клапан 1;Смесительный клапан 2;Смесительный клапан 3;Смесительный клапан 4;Смесительный клапан 5;Смесительный клапан AHU;Фрамуги Север;Фрамуги Юг;Клапан камеры смешения;Скорость AHU;Экран горизонт термический;Экран горизонт затеняющий;Экран вертик термический сторона 1;Экран вертик термический сторона 2;Экран вертик термический сторона 3;Экран вертик термический сторона 4;Клапан CO2;Регулятор увлажнения AHU;Досвечивание;Скорость насоса AHU;Резерв 1;Резерв 2;Резерв 3;Резерв 4;Насос контура 1;Насос контура 2;Насос контура 3;Насос контура 4;Насос контура 5;Насос контура AHU;Вентиляторы;Нагреватель;Охладитель;Насос СИОД;Клапаны СИОД;Насос увлажнения AHU;Авария;Регулятор 1;Регулятор 2;Регулятор 3;Регулятор 4;Регулятор 5;Резерв 1;Резерв 2;Резерв 3;Резерв 4;Авария отопления;Авария вентиляции;Досветка 50%;Досветка 100%;Осадки;Авария СО2;Авария досвечивания;Температура воздуха 1;Температура воздуха 2;Температура воздуха 3;Температура воздуха 4;Влажность воздуха 1;Влажность воздуха 2;Внутренний свет;Концентрация СО2;Температура испарения 1;Температура испарения 2;Температура охлаждения;Исбыточное давление;Температура шатра;Температура почвы;Температура стекла;Температура входа AHU;Температура выхода AHU;Положение фрамуги СЕВЕР;Положение фрамуги ЮГ;Положение экрана;Температура контура 1;Температура контура 2;Температура контура 3;Температура контура 4;Температура контура 5;Температура контура AHU;Температура наружнего воздуха;Интенсивность солнца;Скорость ветра;Направление ветра;Осадки;Влажность наружнего воздуха;Температура прямого коллектора;Температура обратного коллектора;Давление прямого коллектора;Давление обратного коллектора;Расход теплоносителя;
   700,505;09.07.15; 15:00 ;Зона  2;1;1;1;1;1;1;1;1;1;0;0.00.01;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.01.23;0.01.24;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.24;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   352,505;09.07.15; 15:03 ;Зона  1;1;1;1;1;1;1;1;1;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   298,505;09.07.15; 15:03 ;Зона  2;1;1;1;1;1;1;1;1;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   344,505;09.07.15; 15:03 ;Зона  1;0;0;0;0;0;0;0;0;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   290,505;09.07.15; 15:03 ;Зона  2;0;0;0;0;0;0;0;0;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   346,505;09.07.15; 15:04 ;Зона  1;0;1;0;0;0;0;0;1;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   292,505;09.07.15; 15:04 ;Зона  2;0;1;0;0;0;0;0;1;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   345,505;21.07.15; 13:44 ;Зона  1;1;0;0;0;0;0;0;0;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   291,505;21.07.15; 13:44 ;Зона  2;1;0;0;0;0;0;0;0;1;0;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   349,505;21.07.15; 13:45 ;Зона  1;1;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   295,505;21.07.15; 13:45 ;Зона  2;1;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.00.00;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   714,505;22.07.15; 15:45 ;Зона  1;1;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   660,505;22.07.15; 15:45 ;Зона  2;1;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   715,505;22.07.15; 16:07 ;Зона  1;2;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   717,505;22.07.15; 16:10 ;Зона  1;2;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   663,505;22.07.15; 16:10 ;Зона  2;2;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.01.28;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   589,505;22.07.15; 16:19 ;Зона  1;2;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.23;0.00.07;0.00.00;0.00.24;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
   535,505;22.07.15; 16:19 ;Зона  2;2;0;0;0;0;0;0;0;1;0;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.03;0.00.05;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.32;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.01;0.00.01;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.01.21;0.01.22;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;0.00.00;
